Owner ID,Owner Name,Year,Total Points,QB %,RB %,WR %,TE %,K %,D/ST %
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,2020,1701.72,19.55,27.87,22.95,14.35,9.46,5.82
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,2020,1487.34,27.45,26.53,24.83,6.33,6.79,8.07
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,2020,1627.12,20.61,20.28,29.87,11.97,7.25,10.02
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,2021,1812.06,21.04,30.76,26.01,7.68,8.11,6.4
{EC205991-7770-43C6-94F0-5B719BD9243B},CC,2021,1624.6,19.46,29.61,27.5,7.43,8.19,7.82
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,2021,1537.28,20.45,26.77,26.81,11.66,7.87,6.44
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,2021,1416.52,19.73,28.2,26.69,9.14,9.53,6.71
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,2021,1814.48,20.37,32.1,23.0,8.32,8.21,7.99
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,2021,1533.92,22.3,28.67,17.72,15.14,7.76,8.41
{AB415A49-3D83-422A-815A-493D83822A7E},RP,2021,1592.96,22.88,27.38,22.95,12.67,6.59,7.53
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,2021,1302.34,25.83,24.08,23.78,10.72,8.22,7.37
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,2021,1637.7,20.63,20.08,36.58,7.63,8.79,6.29
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,2021,1517.26,17.87,31.34,26.42,9.87,6.72,7.78
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,2022,1529.54,17.69,29.42,24.75,9.57,6.41,12.16
{EC205991-7770-43C6-94F0-5B719BD9243B},CC,2022,1501.58,18.4,35.32,27.46,3.64,9.19,5.99
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,2022,1389.98,28.11,19.6,30.64,5.32,7.05,9.28
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,2022,1507.8,22.74,24.03,29.12,7.99,9.55,6.57
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,2022,1626.18,25.71,23.32,26.3,8.74,6.15,9.78
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,2022,1393.22,19.75,31.35,24.55,6.83,8.61,8.9
{AB415A49-3D83-422A-815A-493D83822A7E},RP,2022,1376.58,18.96,25.03,32.2,7.04,7.85,8.94
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,2022,1672.02,22.49,29.53,23.79,8.16,8.13,7.89
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,2022,1756.7,22.87,29.4,24.24,8.64,7.12,7.74
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,2022,1667.68,20.47,21.34,29.77,15.48,8.51,4.44
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,2023,1664.34,15.46,25.94,32.78,11.17,7.81,6.85
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,2023,1416.2,23.2,29.41,26.49,6.22,7.27,7.41
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,2023,1504.04,17.77,29.45,24.44,8.72,10.44,9.18
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,2023,1548.48,17.86,24.79,28.45,12.24,9.17,7.49
{C061D55B-465C-4196-A1D5-5B465C0196C1},MD,2023,1649.92,18.26,26.04,28.44,10.9,7.64,8.73
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,2023,1579.18,18.27,28.76,26.72,10.17,7.35,8.74
{AB415A49-3D83-422A-815A-493D83822A7E},RP,2023,1573.86,22.63,23.32,26.37,9.5,7.31,10.87
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,2023,1686.0,18.36,33.09,21.92,10.61,7.3,8.72
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,2023,1533.76,20.48,24.33,27.23,12.57,5.87,9.52
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,2023,1447.54,20.97,30.27,24.07,7.14,7.32,10.22
{4D5B86DB-7730-4656-9B86-DB77306656BE},AK,2024,1607.36,21.34,30.58,21.47,12.11,8.71,5.79
{EC205991-7770-43C6-94F0-5B719BD9243B},CC,2024,1658.86,17.54,31.04,26.77,8.13,8.68,7.84
{4D8C84EB-2E3A-47C0-9B53-AFF14AC5EA37},CR,2024,1420.46,20.32,21.83,25.67,11.97,11.12,9.08
{D2E084E8-90D0-4D92-A341-932971F0D009},DP,2024,1751.78,21.15,34.17,21.99,6.88,8.85,6.96
{09E9F913-BDB0-4950-9644-E139FB665A84},DW,2024,1299.52,17.89,31.76,23.0,8.27,9.93,9.16
{882D18A7-6980-46C9-BE54-F0522A5CB984},MC,2024,1460.34,17.92,28.8,28.99,9.76,8.77,5.75
{C061D55B-465C-4196-A1D5-5B465C0196C1},MD,2024,1524.02,16.41,25.68,29.87,6.46,12.34,9.25
{46A3A90B-4540-4E5B-ABF0-FF0CCED65E27},MS,2024,1734.6,21.84,27.86,23.69,7.47,9.34,9.8
{AB415A49-3D83-422A-815A-493D83822A7E},RP,2024,1509.08,20.39,22.54,27.98,11.13,9.34,8.61
{10A033CE-9579-464C-A7D6-40A19C59EDC4},TM,2024,1572.7,21.32,30.98,23.41,11.77,7.5,5.02
{8827089B-9EEF-41B4-A708-9B9EEF01B411},ac,2024,1380.84,15.05,28.38,31.5,8.99,7.89,8.18
{26E8FD9F-DA6F-434C-84A0-D666C2DDEC56},dk,2024,1516.2,27.57,19.64,26.49,8.03,12.4,5.87
